Title: The relation between stellar and dynamical surface densities in the
central regions of disk galaxies
Authors: Federico Lelli, Stacy McGaugh, James Schombert, and Marcel Pawlowski
Table: Data behind Figure 2
================================================================================
Byte-by-byte Description of file: DbF.Figure2.mrt
--------------------------------------------------------------------------------
   Bytes Format Units           Label       Explanations
--------------------------------------------------------------------------------
   1- 11 A11    ---             Name        Galaxy Name
  13- 14 I2     ---             Type        Numerical Hubble Type
  16- 20 F5.2   [solMass/pc2]   log(Sdyn)   Dynamical surface density (1)
  22- 26 F5.2   [solMass/pc2] e_log(Sdyn)   Mean error on log(Sdyn)
  28- 32 F5.2   [solMass/pc2]   log(Sstar)  Stellar surface density (2)
  34- 38 F5.2   [solMass/pc2] e_log(Sstar)  Mean error on log(Sstar)
  40- 44 F5.2   [solMass]       log(Mstar)  Log of the stellar mass
  46- 50 F5.2   [solMass]     e_log(Mstar)  Mean error on log(Mstar)
--------------------------------------------------------------------------------
Note (1): Estimated at R=0 using Equation 16 of Toomre, A. 1963, ApJ, 138, 385
Note (2): Estimated at R=0 using Spitzer photometry at 3.6 um and assuming
          M/L=0.5 and M/L=0.7 for disk and bulge components, respectively.
--------------------------------------------------------------------------------
UGC00891  9  1.72  0.15  1.21  0.13  8.27  0.29 
UGC02259  8  2.42  0.14  1.55  0.11  8.94  0.28 
UGC02487  0  3.12  0.14  2.64  0.11 11.43  0.17 
UGC02885  5  3.62  0.09  3.45  0.13 11.33  0.14 
UGC02916  2  3.91  0.17  3.88  0.12 10.88  0.17 
UGC02953  2  4.72  0.20  4.32  0.11 11.13  0.28 
UGC03205  2  3.66  0.15  3.65  0.13 10.78  0.20 
UGC03546  1  3.94  0.20  4.17  0.12 10.75  0.24 
UGC03580  1  3.40  0.26  3.56  0.12  9.86  0.24 
UGC04325  9  2.48  0.15  1.71  0.11  9.01  0.28 
UGC04483 10  1.92  0.13  1.12  0.11  6.81  0.14 
UGC04499  8  2.04  0.14  1.65  0.11  8.89  0.28 
UGC05005 10  1.87  0.25  1.13  0.13  9.31  0.21 
UGC05253  2  4.56  0.17  4.46  0.11 11.00  0.24 
UGC05414 10  1.93  0.14  1.39  0.11  8.75  0.28 
UGC05716  9  2.15  0.16  1.07  0.15  8.47  0.24 
UGC05721  7  2.85  0.15  2.46  0.13  8.42  0.28 
UGC05750  8  1.68  0.14  1.24  0.19  9.22  0.21 
UGC05764 10  2.26  0.17  1.08  0.17  7.63  0.28 
UGC05829 10  1.84  0.27  1.21  0.12  8.45  0.28 
UGC05918 10  1.84  0.17  0.84  0.12  8.07  0.28 
UGC06399  9  2.11  0.09  1.41  0.12  9.06  0.16 
UGC06446  7  2.39  0.15  1.57  0.11  8.69  0.28 
UGC06614  1  2.92  0.23  3.06  0.12 10.88  0.14 
UGC06786  0  4.13  0.17  4.10  0.12 10.61  0.24 
UGC06787  2  4.36  0.15  4.65  0.12 10.77  0.24 
UGC06818  9  1.87  0.10  1.37  0.14  8.90  0.16 
UGC06917  9  2.32  0.07  1.69  0.11  9.53  0.16 
UGC06923 10  2.22  0.10  1.93  0.11  9.16  0.16 
UGC06930  7  2.29  0.15  2.03  0.11  9.65  0.16 
UGC06983  6  2.37  0.08  1.92  0.11  9.42  0.16 
UGC07089  8  1.93  0.09  1.41  0.17  9.25  0.16 
UGC07232 10  2.19  0.10  1.72  0.13  7.75  0.12 
UGC07261  8  2.30  0.30  2.11  0.12  8.94  0.28 
UGC07323  8  2.14  0.15  1.89  0.11  9.31  0.28 
UGC07399  8  2.62  0.14  2.05  0.11  8.76  0.28 
UGC07524  9  2.12  0.07  2.08  0.11  9.09  0.12 
UGC07559 10  1.62  0.11  0.86  0.12  7.74  0.12 
UGC07577 10  1.13  0.22  0.96  0.12  7.35  0.12 
UGC07603  7  2.29  0.14  1.49  0.15  8.27  0.28 
UGC07690 10  2.45  0.17  2.02  0.11  8.63  0.28 
UGC07866 10  1.77  0.15  1.28  0.11  7.79  0.12 
UGC08490  9  2.69  0.08  2.12  0.11  8.71  0.15 
UGC08699  2  3.97  0.18  4.13  0.25 10.45  0.24 
UGC08837 10  1.51  0.06  0.74  0.24  8.40  0.12 
UGC09037  6  2.43  0.08  2.38  0.14 10.54  0.14 
UGC09133  2  4.34  0.15  4.23  0.12 11.20  0.20 
UGC09992 10  1.86  0.32  1.40  0.12  8.23  0.28 
UGC10310  9  2.08  0.20  1.51  0.11  8.94  0.28 
UGC11557  8  1.94  0.30  2.26  0.12  9.78  0.24 
UGC11820  9  2.17  0.22  1.47  0.13  8.69  0.28 
UGC11914  2  4.14  0.22  4.19  0.11 10.92  0.28 
UGC12632  9  2.06  0.16  1.35  0.11  8.81  0.28 
UGC12732  9  2.18  0.18  1.51  0.11  8.92  0.28 
UGCA442  9  1.94  0.08  1.14  0.15  7.85  0.12 
UGCA444 10  1.98  0.11  0.61  0.18  6.78  0.12 

